"system","evaluation","budget","parameters","parameterKey","norm","numeratorRy","analyticKineticRy","correctionRy","elapsedSeconds","completed"
"X",1,100000,"{0.7310894085677733}","0.7310894085677733",0.1640764755782172,-0.4867080108841907,0.6140716021253952,-2.3522769202267395,8.3368968,"2026-07-31T14:41:07"
"X",2,100000,"{0.8310894085677732}","0.8310894085677732",0.13639989242095946,-0.4270560983693765,0.7935485906718569,-2.3373636907791386,8.6215721,"2026-07-31T14:41:16"
"X",3,100000,"{0.7310894085677733}","0.7310894085677733",0.1640764755782172,-0.4867080108841907,0.6140716021253952,-2.3522769202267395,0.0006424,"2026-07-31T14:41:16"
"X",4,100000,"{0.8310894085677732}","0.8310894085677732",0.13639989242095946,-0.4270560983693765,0.7935485906718569,-2.3373636907791386,0.0002709,"2026-07-31T14:41:16"
"X",5,100000,"{0.6310894085677733}","0.6310894085677733",0.1999211943179459,-0.5618737895342334,0.45757239135671135,-2.352903963844799,8.5707859,"2026-07-31T14:41:25"
"X",6,100000,"{0.5310894085677733}","0.5310894085677733",0.24646169578967164,-0.6497815271048915,0.3240509583658053,-2.3123892601556544,8.5160607,"2026-07-31T14:41:33"
"X",7,100000,"{0.5310894085677733}","0.5310894085677733",0.24646169578967164,-0.6497815271048915,0.3240509583658053,-2.3123892601556544,0.0003338,"2026-07-31T14:41:33"
"X",8,100000,"{0.6810894085677732}","0.6810894085677732",0.18091499397720315,-0.5234056699342147,0.532949774518831,-2.3601529939568895,8.4898217,"2026-07-31T14:41:42"
"X",9,100000,"{0.7310894085677732}","0.7310894085677732",0.16407647557821725,-0.4867080108841905,0.614071602125395,-2.3522769202267377,8.3605573,"2026-07-31T14:41:50"
"X",10,100000,"{0.6560894085677733}","0.6560894085677733",0.19020613393249836,-0.5434132270790243,0.49454302738221567,-2.3624270179259677,8.4357612,"2026-07-31T14:41:59"
"X",11,100000,"{0.6310894085677734}","0.6310894085677734",0.1999211943179458,-0.5618737895342334,0.4575723913567115,-2.3529039638448,8.4311756,"2026-07-31T14:42:07"
"X",12,100000,"{0.6685894085677733}","0.6685894085677733",0.18540451104610053,-0.5325411055585257,0.5135668870616344,-2.3587532229172985,8.6119233,"2026-07-31T14:42:16"
"X",13,100000,"{0.6685894085677733}","0.6685894085677733",0.18540451104610053,-0.5325411055585257,0.5135668870616344,-2.3587532229172985,0.0003461,"2026-07-31T14:42:16"
"X",14,100000,"{0.6560894085677733}","0.6560894085677733",0.19020613393249836,-0.5434132270790243,0.49454302738221567,-2.3624270179259677,0.0003455,"2026-07-31T14:42:16"
"X",15,100000,"{0.6435894085677734}","0.6435894085677734",0.19486988918655337,-0.5501391387719139,0.4758781954805747,-2.3472318348497305,9.2007128,"2026-07-31T14:42:25"
"X",16,100000,"{0.6623394085677733}","0.6623394085677733",0.18771498445893955,-0.5376064664976743,0.5040100787497028,-2.3599406497829434,9.2944285,"2026-07-31T14:42:34"
"X",17,100000,"{0.6498394085677733}","0.6498394085677733",0.1924901469228735,-0.5450681142473257,0.48516573295917303,-2.3465018768417707,9.3888109,"2026-07-31T14:42:44"
"X",18,100000,"{0.6592144085677734}","0.6592144085677734",0.18892849647180804,-0.5396318561867145,0.4992653334479038,-2.3570102748600177,9.4529169,"2026-07-31T14:42:53"
"X",19,100000,"{0.6592144085677734}","0.6592144085677734",0.18892849647180804,-0.5396318561867145,0.4992653334479038,-2.3570102748600177,0.0004164,"2026-07-31T14:42:53"
"X",20,100000,"{0.6560894085677733}","0.6560894085677733",0.19020613393249836,-0.5434132270790243,0.49454302738221567,-2.3624270179259677,0.000614,"2026-07-31T14:42:53"
"X",21,100000,"{0.6529644085677733}","0.6529644085677733",0.19122941897049198,-0.5477632329502238,0.48984316055263866,-2.3745865694500834,9.6165634,"2026-07-31T14:43:03"
